Wall time,Step,Value
1559495470.295261,0,0.9617278575897217
1559495904.5951283,1,0.44095441699028015
1559496338.2099032,2,0.272436261177063
1559496772.0113983,3,0.1727641373872757
1559497224.4170012,4,0.10498543828725815
1559497659.6042948,5,0.06849956512451172
1559498093.1756167,6,0.04500608891248703
1559498528.409148,7,0.033226802945137024
1559498962.6829526,8,0.021901290863752365
1559499397.4492521,9,0.018363112583756447
1559499833.4799643,10,0.01429098192602396
1559500269.323225,11,0.013413171283900738
1559500705.2309349,12,0.012299340218305588
1559501140.9054096,13,0.009931986220180988
1559501576.0132208,14,0.01052212156355381
1559502011.82812,15,0.01092561800032854
1559502447.5402703,16,0.00995524413883686
1559502883.0946302,17,0.009876721538603306
1559503319.0614672,18,0.009700529277324677
1559503753.8926678,19,0.008087861351668835
