Wall time,Step,Value
1559495470.2952278,0,0.664616584777832
1559495904.5950847,1,0.8437371253967285
1559496338.2098687,2,0.9069207310676575
1559496772.0113606,3,0.94477379322052
1559497224.4169514,4,0.9688044786453247
1559497659.6042626,5,0.9805979132652283
1559498093.1755862,6,0.9880163669586182
1559498528.4090986,7,0.9912500381469727
1559498962.6829188,8,0.9947056174278259
1559499397.4492161,9,0.9954031109809875
1559499833.4799283,10,0.9968613982200623
1559500269.3231556,11,0.9972101449966431
1559500705.2308917,12,0.9970199465751648
1559501140.9053736,13,0.9980661273002625
1559501576.0131836,14,0.9977807998657227
1559502011.828077,15,0.9977173805236816
1559502447.5402367,16,0.9979076385498047
1559502883.0945957,17,0.9981929659843445
1559503319.0614266,18,0.9980027079582214
1559503753.892631,19,0.998636782169342
