Wall time,Step,Value
1553722323.938006,0,1.1894407272338867
1553722436.9416249,1,0.8235759735107422
1553722547.9157631,2,0.7378028035163879
1553722677.8776495,3,0.6821179986000061
1553722792.1995068,4,0.6289693713188171
1553722907.9808939,5,0.5892189741134644
1553723022.5673966,6,0.553514838218689
1553723138.2644453,7,0.5219475030899048
1553723253.3154304,8,0.5013628602027893
1553723368.3792877,9,0.4689127206802368
1553723482.5623293,10,0.45403438806533813
1553723598.9407675,11,0.4354333281517029
1553723712.4182012,12,0.4126089811325073
1553723826.2648888,13,0.3983844220638275
1553723941.636859,14,0.38733693957328796
1553724054.1944785,15,0.3745703101158142
1553724169.3147576,16,0.35742732882499695
1553724284.2033906,17,0.33710503578186035
1553724398.836673,18,0.32965660095214844
1553724512.910166,19,0.3235170245170593
